L 03/09/2021 - 17:40:36: SourceMod log file session started (file "D:\Steam\steamapps\common\Left 4 Dead 2\left4dead2\addons\sourcemod\logs\L20210309.log") (Version "1.10.0.6492")
L 03/09/2021 - 17:40:36: [simplewelcomemsg.smx] Set the maximum number of lines of.
L 03/09/2021 - 17:40:43: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_force_time_of_day") (value "0")
L 03/09/2021 - 17:40:43: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "z_witch_damage_per_kill_hit") (value "120")
L 03/09/2021 - 17:40:43: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "z_witch_anger_rate") (value "0.4")
L 03/09/2021 - 17:40:43: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "z_witch_flashlight_range") (value "2000")
L 03/09/2021 - 17:40:43: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "z_witch_burn_time") (value "100")
L 03/09/2021 - 17:40:44: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "z_tank_health") (value "4000")
L 03/09/2021 - 17:40:44: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "z_ghost_delay_min") (value "15")
L 03/09/2021 - 17:40:44: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "z_ghost_delay_max") (value "15")
L 03/09/2021 - 17:40:44: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "z_hunter_limit") (value "1")
L 03/09/2021 - 17:40:44: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "z_smoker_limit") (value "1")
L 03/09/2021 - 17:40:44: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "z_jockey_limit") (value "1")
L 03/09/2021 - 17:40:44: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "versus_tank_chance_intro") (value "1")
L 03/09/2021 - 17:40:44: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "versus_tank_chance_finale") (value "1")
L 03/09/2021 - 17:40:44: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "versus_tank_chance") (value "1")
L 03/09/2021 - 17:40:44: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "versus_witch_chance_intro") (value "0")
L 03/09/2021 - 17:40:44: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "versus_witch_chance_finale") (value "0")
L 03/09/2021 - 17:40:44: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "versus_witch_chance") (value "1")
L 03/09/2021 - 17:40:44: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "director_force_tank") (value "1")
L 03/09/2021 - 17:40:44: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "versus_boss_flow_min") (value "0.4")
L 03/09/2021 - 17:40:44: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "versus_boss_flow_max") (value "0.6")
L 03/09/2021 - 17:40:44: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "versus_boss_flow_min_intro") (value "0.1")
L 03/09/2021 - 17:40:44: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "versus_boss_flow_max_intro") (value "0.2")
L 03/09/2021 - 17:40:44: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "versus_boss_flow_min_finale") (value "0.1")
L 03/09/2021 - 17:40:44: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "versus_boss_flow_max_finale") (value "0.2")
L 03/09/2021 - 17:40:44: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "boomer_vomit_delay") (value "0.1")
L 03/09/2021 - 17:40:44: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "smoker_tongue_delay") (value "0.1")
L 03/09/2021 - 17:40:44: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "vs_survival_bonus") (value "35")
L 03/09/2021 - 17:40:44: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "z_tank_throw_health") (value "10")
L 03/09/2021 - 17:40:44: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_client_min_interp_ratio") (value "-1")
L 03/09/2021 - 17:40:44: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_client_max_interp_ratio") (value "0")
L 03/09/2021 - 17:40:44: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_minrate") (value "100000")
L 03/09/2021 - 17:40:44: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxrate") (value "100000")
L 03/09/2021 - 17:40:44: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_mincmdrate") (value "100")
L 03/09/2021 - 17:40:44: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxcmdrate") (value "100")
L 03/09/2021 - 17:40:44: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_minupdaterate") (value "100")
L 03/09/2021 - 17:40:44: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxupdaterate") (value "100")
L 03/09/2021 - 17:40:44: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "nb_update_frequency") (value "0.014")
L 03/09/2021 - 17:40:44: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "net_splitpacket_maxrate") (value "50000")
L 03/09/2021 - 17:40:44: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "fps_max") (value "0")
L 03/09/2021 - 17:40:44: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "hostname") (value "Versus")
L 03/09/2021 - 17:42:10: [l4d2_skill_detect.smx] Clear: 2 freed 3 from 6: time: 0.30 / -1.00 -- class: hunter (with shove? 0)
L 03/09/2021 - 17:42:57: [l4d2_skill_detect.smx] Clear: 2 freed 3 from 6: time: 0.29 / -1.00 -- class: jockey (with shove? 1)
L 03/09/2021 - 17:45:44: Log file closed.
