L 08/29/2020 - 15:29:06: [l4d_texture_manager_block.smx] .:[Name: Clairo | STEAMID: STEAM_1:0:556243779 | mat_hdr_level: 0]:.
L 08/29/2020 - 16:07:43: [l4d_texture_manager_block.smx] .:[Name: Clairo | STEAMID: STEAM_1:0:556243779 | mat_hdr_level: 0]:.
L 08/29/2020 - 16:07:43: [l4d_texture_manager_block.smx] .:[Name: Clairo | STEAMID: STEAM_1:0:556243779 | mat_hdr_level: 0]:.
L 08/29/2020 - 16:07:43: [l4d_texture_manager_block.smx] .:[Name: Clairo | STEAMID: STEAM_1:0:556243779 | mat_hdr_level: 0]:.
L 09/05/2020 - 23:28:37: [l4d_texture_manager_block.smx] .:[Name: RETROGAMER | STEAMID: STEAM_1:0:33288520 | mat_hdr_level: 0]:.
L 09/09/2020 - 21:18:49: [l4d_texture_manager_block.smx] .:[Name: Rune | STEAMID: STEAM_1:0:33288520 | mat_hdr_level: 0]:.
L 09/12/2020 - 19:24:52: [l4d_texture_manager_block.smx] .:[Name: Yun | STEAMID: STEAM_1:1:230398188 | mat_hdr_level: 0]:.
L 09/12/2020 - 23:03:40: [l4d_texture_manager_block.smx] .:[Name: STC|BLACK0234 | STEAMID: STEAM_1:0:554061408 | mat_hdr_level: 0]:.
L 09/27/2020 - 15:59:49: [l4d_texture_manager_block.smx] .:[Name: $Tr4p$Empanada De Calle$Life$ | STEAMID: STEAM_1:0:235305597 | mat_hdr_level: 0]:.
L 09/27/2020 - 15:59:49: [l4d_texture_manager_block.smx] .:[Name: $Tr4p$Empanada De Calle$Life$ | STEAMID: STEAM_1:0:235305597 | mat_hdr_level: 0]:.
L 09/27/2020 - 15:59:49: [l4d_texture_manager_block.smx] .:[Name: $Tr4p$Empanada De Calle$Life$ | STEAMID: STEAM_1:0:235305597 | mat_hdr_level: 0]:.
L 09/27/2020 - 16:11:56: [l4d_texture_manager_block.smx] .:[Name: rodrigobaez0709 | STEAMID: STEAM_1:1:557449069 | mat_hdr_level: 1]:.
L 09/27/2020 - 23:17:26: [l4d_texture_manager_block.smx] .:[Name: rodrigobaez0709 | STEAMID: STEAM_1:1:557449069 | mat_hdr_level: 1]:.
L 09/28/2020 - 22:14:13: [l4d_texture_manager_block.smx] .:[Name: $Tr4p$Empanada De Calle$Life$ | STEAMID: STEAM_1:0:235305597 | mat_hdr_level: 0]:.
L 09/28/2020 - 22:15:38: [l4d_texture_manager_block.smx] .:[Name: $Tr4p$Empanada De Calle$Life$ | STEAMID: STEAM_1:0:235305597 | mat_hdr_level: 0]:.
L 09/28/2020 - 22:21:57: [l4d_texture_manager_block.smx] .:[Name: $Tr4p$Empanada De Calle$Life$ | STEAMID: STEAM_1:0:235305597 | mat_hdr_level: 0]:.
L 09/28/2020 - 22:24:04: [l4d_texture_manager_block.smx] .:[Name: $Tr4p$Empanada De Calle$Life$ | STEAMID: STEAM_1:0:235305597 | mat_hdr_level: 0]:.
